"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"2","0.105970","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"3","0.141063","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"4","0.988279","192.168.230.113","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question"
"5","0.995905","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"6","1.022364","192.168.230.112","224.0.0.251","MDNS","203","Standard query response 0x0000 PTR Denon AVR-S920W._http._tcp.local A, cache flush 192.168.230.112 SRV, cache flush 0 0 80 Denon-AVR-S920W.local TXT, cache flush NSEC, cache flush Denon-AVR-S920W.local NSEC, cache flush Denon AVR-S920W._http._tcp.local"
"7","1.124755","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"8","1.998276","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"9","2.023666","192.168.230.112","224.0.0.251","MDNS","514","Standard query response 0x0000 PTR Denon AVR-S920W._airplay._tcp.local PTR 0005CDA01798@Denon AVR-S920W._raop._tcp.local A, cache flush 192.168.230.112 SRV, cache flush 0 0 1024 Denon-AVR-S920W.local TXT, cache flush SRV, cache flush 0 0 1024 Denon-AVR-S920W.local TXT, cache flush NSEC, cache flush Denon-AVR-S920W.local NSEC, cache flush Denon AVR-S920W._airplay._tcp.local NSEC, cache flush 0005CDA01798@Denon AVR-S920W._raop._tcp.local"
"10","2.143978","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"11","2.164736","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"12","2.535783","192.168.230.113","224.0.0.251","MDNS","125","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR HP LaserJet 500 color M551 [E9E904]._ftp._tcp.local"
"13","2.999944","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"14","3.123542","Cisco_eb:9c:98","Cisco_eb:9c:98","LOOP","60","Reply"
"15","3.204915","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"16","3.277803","192.168.230.108","192.168.230.255","BROWSER","223","Request Announcement CSRL-PC-09"
"17","3.282724","192.168.230.129","192.168.230.255","BROWSER","243","Local Master Announcement CSRL-PC-04, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
"18","3.283827","192.168.230.108","192.168.230.255","BROWSER","223","Request Announcement CSRL-PC-09"
"19","3.287921","192.168.230.129","192.168.230.255","BROWSER","243","Local Master Announcement CSRL-PC-04, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
"20","3.382961","192.168.230.113","224.0.0.118","UDP","279","5240  >  5240 Len=237"
"21","3.383378","fe80::a2b3:ccff:feff:eb63","ff02::15a","UDP","283","5240  >  5240 Len=221"
"22","3.993054","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"23","4.143245","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"24","4.244725","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"25","4.992992","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"26","5.284683","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"27","5.998935","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"28","6.146151","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"29","6.998490","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
